arc_type,rel_pin,rel_pin_dir,constr_pin_dir,probe_pattern,num_rules,num_templates,num_cell_patterns,pairs_json
nochange_high_high,CP1,fall,fall,none,2,2,2,"[{""cell_pattern"":[""DC*CK*AOMUX2*""],""template"":""nochange/template__ckg__hold__fall__en__fall__pushout__negative__1.sp""},{""cell_pattern"":[""DC*CKPGMUX2*"",""CKPGMUX2*""],""template"":""nochange/template__ckgmux2__hold__fall__s__fall__20__percent__glitch__minq__1.sp""}]"
nochange_low_high,CP1,rise,fall,none,2,2,2,"[{""cell_pattern"":[""DC*CK*AOMUX2*""],""template"":""nochange/template__ckg__setup__rise__en__fall__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""DC*CKPGMUX2*"",""CKPGMUX2*""],""template"":""nochange/template__ckgmux2__setup__rise__s__fall__pushout__1.sp""}]"
nochange_low_high,CP1,fall,rise,none,2,2,2,"[{""cell_pattern"":[""DC*CK*AOMUX2*""],""template"":""nochange/template__ckg__hold__fall__en__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""DC*CKPGMUX2*"",""CKPGMUX2*""],""template"":""nochange/template__ckgmux2__hold__fall__s__rise__pushout__1.sp""}]"
nochange_high_high,CP2,rise,rise,none,2,2,2,"[{""cell_pattern"":[""DC*CKAOMUX2*""],""template"":""nochange/template__ckg__setup__rise__en__rise__pushout__1.sp""},{""cell_pattern"":[""DC*CKPGMUX2*"",""CKPGMUX2*""],""template"":""nochange/template__ckgmux2__setup__rise__s__rise__pushout__1.sp""}]"
nochange_high_high,CP2,fall,fall,none,2,2,2,"[{""cell_pattern"":[""DC*CKAOMUX2*""],""template"":""nochange/template__ckg__hold__fall__en__fall__pushout__negative__1.sp""},{""cell_pattern"":[""DC*CKPGMUX2*"",""CKPGMUX2*""],""template"":""nochange/template__ckgmux2__hold__fall__s__fall__pushout__1.sp""}]"
nochange_low_high,CP2,rise,fall,none,2,2,2,"[{""cell_pattern"":[""DC*CKAOMUX2*""],""template"":""nochange/template__ckg__setup__rise__en__fall__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""DC*CKPGMUX2*"",""CKPGMUX2*""],""template"":""nochange/template__ckgmux2__setup__rise__s__fall__20__percent__glitch__minq__1.sp""}]"
nochange_low_high,CP2,fall,rise,none,2,2,2,"[{""cell_pattern"":[""DC*CKAOMUX2*""],""template"":""nochange/template__ckg__hold__fall__en__rise__20__percent__glitch__minq__1.sp""},{""cell_pattern"":[""DC*CKPGMUX2*"",""CKPGMUX2*""],""template"":""nochange/template__ckgmux2__hold__fall__s__rise__20__percent__glitch__minq__1.sp""}]"
non_seq_hold,SLEEP,fall,fall,len_2,2,2,1,"[{""cell_pattern"":[""RSVNBSP*SYNC2*""],""template"":""non_seq_hold/template__latch__fall__fall__pushout__maxq__2.sp""},{""cell_pattern"":[""RSVNBSP*SYNC2*""],""template"":""non_seq_hold/template__latch__fall__fall__pushout__minq__2.sp""}]"
non_seq_hold,SLEEP,rise,fall,len_2,2,2,1,"[{""cell_pattern"":[""RSVNBSP*SYNC2*""],""template"":""non_seq_hold/template__latch__rise__fall__glitch__minq__2.sp""},{""cell_pattern"":[""RSVNBSP*SYNC2*""],""template"":""non_seq_hold/template__latch__rise__fall__glitch__maxq__2.sp""}]"
removal,CP,fall,rise,none,2,2,1,"[{""cell_pattern"":[""RLH*""],""template"":""hold/template__latch__fall__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""RLH*""],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""}]"
hold,CPN,fall,rise,none,5,2,2,"[{""cell_pattern"":[""SDFN*""],""template"":""hold/template__common__fall__rise__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__fall__rise__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""}]"
hold,CPN,fall,fall,none,5,2,2,"[{""cell_pattern"":[""SDFN*""],""template"":""hold/template__common__fall__fall__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__fall__fall__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__fall__pushout__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__fall__pushout__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__fall__pushout__1.sp""}]"
hold,E,fall,rise,len_1,3,2,2,"[{""cell_pattern"":[""SLH*QNSON*""],""template"":""hold/template__SLH__QN__fall__SE__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""SLH*QNSON*""],""template"":""hold/template__SLH__QN__fall__SE__rise__glitch__minq__1.sp""},{""cell_pattern"":[""MB*SRLSLH*QNSON*""],""template"":""hold/template__SLH__QN__fall__SE__rise__glitch__maxq__1.sp""}]"
hold,E,fall,fall,len_1,3,2,2,"[{""cell_pattern"":[""SLH*QNSON*""],""template"":""hold/template__SLH__QN__fall__SE__fall__glitch__minq__1.sp""},{""cell_pattern"":[""SLH*QNSON*""],""template"":""hold/template__SLH__QN__fall__SE__fall__glitch__maxq__1.sp""},{""cell_pattern"":[""MB*SRLSLH*QNSON*""],""template"":""hold/template__SLH__QN__fall__SE__fall__glitch__minq__1.sp""}]"
hold,E,fall,rise,len_2,2,2,1,"[{""cell_pattern"":[""SLH*QSO*""],""template"":""hold/template__SLH__fall__SE__rise__glitch__minq__2.sp""},{""cell_pattern"":[""SLH*QSO*""],""template"":""hold/template__SLH__fall__SE__rise__glitch__maxq__2.sp""}]"
hold,E,fall,fall,len_2,2,2,1,"[{""cell_pattern"":[""SLH*QSO*""],""template"":""hold/template__SLH__fall__SE__fall__glitch__maxq__2.sp""},{""cell_pattern"":[""SLH*QSO*""],""template"":""hold/template__SLH__fall__SE__fall__glitch__minq__2.sp""}]"
hold,CP,fall,fall,len_1,2,2,2,"[{""cell_pattern"":[""*DFDETQNRESO*""],""template"":""hold/template__DET__fall__SE__fall__pushout__1.sp""},{""cell_pattern"":[""*DFDET*""],""template"":""hold/template__SLH__fall__SE__fall__pushout__3.sp""}]"
hold,E,rise,rise,none,3,2,3,"[{""cell_pattern"":[""MB*SRLSLH*""],""template"":""hold/template__SLH__rise__SE__rise__pushout__1.sp""},{""cell_pattern"":[""SLH*"",""MB*SLH*""],""template"":""hold/template__SLH__rise__SE__rise__pushout__1.sp""},{""cell_pattern"":[],""template"":""hold/template__common__rise__rise__1.sp""}]"
hold,E,fall,rise,contains_QN,2,2,2,"[{""cell_pattern"":[""PTISOLHRP*""],""template"":""hold/template__latch__fall__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""}]"
hold,E,fall,fall,contains_QN,2,2,2,"[{""cell_pattern"":[""PTISOLHRP*""],""template"":""hold/template__latch__fall__fall__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__fall__glitch__maxq__1.sp""}]"
hold,CLK*|CP,rise,rise,contains_CLKOUT_Q,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__S__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""}]"
hold,CLK*|CP,rise,fall,contains_CLKOUT_Q,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__S__rise__fall__pushout__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__fall__pushout__1.sp""}]"
non_seq_hold,SDN,rise,rise,none,4,2,4,"[{""cell_pattern"":[""LHSCN*""],""template"":""non_seq_hold/template__latch__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[""L*""],""template"":""non_seq_hold/template__latch__rise__rise__pushout__1.sp""},{""cell_pattern"":[""*CSN*""],""template"":""non_seq_hold/template__latch__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""non_seq_hold/template__latch__rise__rise__glitch__maxq__1.sp""}]"
non_seq_hold,SDN,rise,fall,contains_Q|len_2,2,2,2,"[{""cell_pattern"":[""*SDRPQ*""],""template"":""non_seq_hold/template__latch__rise__fall__pushout__2.sp""},{""cell_pattern"":[],""template"":""non_seq_hold/template__latch__rise__fall__glitch__maxq__2.sp""}]"
non_seq_hold,CD,fall,rise,contains_Q|len_2,2,2,2,"[{""cell_pattern"":[""*SDRPQ*""],""template"":""non_seq_hold/template__latch__fall__rise__glitch__minq__2.sp""},{""cell_pattern"":[],""template"":""non_seq_hold/template__latch__fall__rise__pushout__2.sp""}]"
non_seq_hold,SDN,rise,fall,none,2,2,2,"[{""cell_pattern"":[""*SDRPQ*""],""template"":""non_seq_hold/template__latch__rise__fall__pushout__1.sp""},{""cell_pattern"":[],""template"":""non_seq_hold/template__latch__rise__fall__glitch__maxq__1.sp""}]"
non_seq_hold,CD,fall,rise,none,2,2,2,"[{""cell_pattern"":[""*SDRPQ*""],""template"":""non_seq_hold/template__latch__fall__rise__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""non_seq_hold/template__latch__fall__rise__pushout__1.sp""}]"
unknown,[],null,null,contains_sl_ax_sl_bx|len_2,2,2,1,"[{""cell_pattern"":[],""template"":""nochange_low_low/template__retn__nonseqhold__RETN__rise__CD__rise__SDN__pushout__maxq__minqx__2.sp""},{""cell_pattern"":[],""template"":""hold/template__retn__removal__fall__rise__glitch__maxq__minqx__2.sp""}]"
unknown,[],null,null,contains_bl_b_sl_a_sl_b|len_2,2,2,1,"[{""cell_pattern"":[],""template"":""nochange_low_low/template__retn__nonseqhold__RETN__rise__CD__rise__SDN__pushout__2.sp""},{""cell_pattern"":[],""template"":""hold/template__retn__removal__fall__rise__glitch__minq__2.sp""}]"
removal,CPN,fall,rise,contains_Q|len_1,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__maxq__1.sp""}]"
removal,CPN,fall,rise,contains_QN|len_1,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""}]"
removal,CP,rise,fall,contains_Q|len_2,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__retn__removal__notD__rise__fall__pushout__2.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__fall__glitch__maxq__2.sp""}]"
removal,CP,rise,rise,contains_Q|len_1,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__minq__1.sp""}]"
removal,CP,rise,rise,contains_QN|len_1,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__minq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""}]"
removal,E,fall,rise,len_1,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__minq__1.sp""}]"
removal,E,fall,rise,len_2,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__maxq__2.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__fall__rise__glitch__minq__2.sp""}]"
removal,EN,rise,rise,len_1,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__maxq__1.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__minq__1.sp""}]"
removal,EN,rise,rise,len_2,2,2,1,"[{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__maxq__2.sp""},{""cell_pattern"":[],""template"":""hold/template__latch__rise__rise__glitch__minq__2.sp""}]"
min_pulse_width,[],null,rise,none,2,2,2,"[{""cell_pattern"":[""CKGMUX3*""],""template"":""min_pulse_width/template__CKGMUX3__rise__fall__1.sp""},{""cell_pattern"":[""CKGMUX*""],""template"":""min_pulse_width/template__S__rise__fall__1.sp""}]"
