arc_type,rel_pin,rel_pin_dir,constr_pin_dir,probe_pattern,num_rules,num_cell_patterns,template
nochange_low_low,I1,rise,rise,none,1,1,nochange/template__ckgmux2__hold__rise__s__rise__20__percent__glitch__minq__1.sp
nochange_low_low,CP1,fall,fall,none,1,1,nochange/template__ckgmux2__setup__fall__s__fall__pushout__1.sp
nochange_low_low,CP2,fall,fall,none,1,1,nochange/template__ckgmux2__setup__fall__s__fall__20__percent__glitch__maxq__1.sp
nochange_low_low,CP1,rise,rise,none,1,1,nochange/template__ckgmux2__hold__rise__s__rise__pushout__1.sp
nochange_low_low,CP2,rise,rise,none,1,1,nochange/template__ckgmux2__hold__rise__s__rise__20__percent__glitch__maxq__1.sp
nochange_high_low,CP1,fall,rise,none,1,1,nochange/template__ckgmux2__setup__fall__s__rise__20__percent__glitch__maxq__1.sp
nochange_high_low,CP2,fall,rise,none,1,1,nochange/template__ckgmux2__setup__fall__s__rise__pushout__1.sp
nochange_high_low,CP1,rise,fall,none,1,1,nochange/template__ckgmux2__hold__rise__s__fall__20__percent__glitch__maxq__1.sp
nochange_high_low,CP2,rise,fall,none,1,1,nochange/template__ckgmux2__hold__rise__s__fall__pushout__1.sp
nochange_high_high,I2,fall,fall,none,1,1,nochange/template__ckgmux2__hold__fall__s__fall__pushout__1.sp
nochange_high_high,I2,rise,rise,none,1,1,nochange/template__ckgmux2__setup__rise__s__rise__pushout__1.sp
nochange_low_high,I2,rise,fall,none,1,1,nochange/template__ckgmux3__setup__rise__s__fall__10__percent__glitch__minq__1.sp
nochange_low_high,I2,fall,rise,none,1,1,nochange/template__ckgmux3__hold__fall__s__rise__10__percent__glitch__minq__1.sp
nochange_high_high,CLK*,rise,rise,none,1,1,nochange/template__ckg__setup__rise__en__rise__pushout__1.sp
nochange_high_high,CLK*,fall,fall,none,1,1,nochange/template__ckg__hold__fall__en__fall__pushout__negative__1.sp
nochange_low_high,CLK*,rise,fall,contains_preZ,1,1,nochange/template__ckg__setup__rise__en__fall__20__percent__glitch__minq__1.sp
nochange_low_high,CLK*,fall,rise,contains_preZ,1,1,nochange/template__ckg__hold__fall__en__rise__20__percent__glitch__minq__1.sp
nochange_low_high,CLK*,rise,fall,none,1,1,nochange/template__ckg__setup__rise__en__fall__20__percent__glitch__maxq__1.sp
nochange_low_high,CLK*,fall,rise,none,1,1,nochange/template__ckg__hold__fall__en__rise__20__percent__glitch__maxq__1.sp
non_seq_hold,CDN,fall,rise,len_1,1,1,non_seq_hold/template__latch__fall__rise__pushout__maxq__1.sp
non_seq_hold,CDN,rise,fall,len_1,1,1,non_seq_hold/template__latch__rise__fall__glitch__minq__1.sp
non_seq_hold,SDN,fall,rise,len_1,1,1,non_seq_hold/template__latch__fall__rise__pushout__minq__1.sp
non_seq_hold,SDN,rise,fall,len_1,1,1,non_seq_hold/template__latch__rise__fall__glitch__maxq__1.sp
non_seq_hold,CDN,fall,rise,len_2,1,1,non_seq_hold/template__latch__fall__rise__pushout__maxq__2.sp
non_seq_hold,CDN,rise,fall,len_2,1,1,non_seq_hold/template__latch__rise__fall__glitch__minq__2.sp
non_seq_hold,SDN,fall,rise,len_2,1,1,non_seq_hold/template__latch__fall__rise__pushout__minq__2.sp
non_seq_hold,SDN,rise,fall,len_2,1,1,non_seq_hold/template__latch__rise__fall__glitch__maxq__2.sp
removal,CP,rise,rise,len_2,1,1,hold/template__retn__flop__removal__notD__CDN__SDN__rise__sleep__rise__pushout__maxq__minq__2.sp
hold,CP,fall,rise,contains_Q|len_1,1,1,hold/template__rsdf__Q__fall__rise__pushout__1.sp
hold,CP,rise,fall,contains_Q|len_1,1,1,hold/template__rsdf__Q__rise__fall__pushout__1.sp
hold,E,rise,fall,len_2,1,1,hold/template__SLH__rise__SE__fall__pushout__2.sp
hold,E,rise,rise,len_1,1,1,hold/template__SLH__rise__SE__rise__pushout__1.sp
hold,E,rise,fall,len_1,1,1,hold/template__SLH__rise__SE__fall__pushout__1.sp
hold,CP,rise,rise,contains_ml1_ax_ml2_ax_ml3_ax_ml4_ax,1,1,hold/template__MB__rise__rise__20__percent__glitch__minq__1.sp
hold,CP,rise,rise,contains_ml1_a_ml2_a_ml3_a_ml4_a,1,1,hold/template__MB__rise__rise__20__percent__glitch__maxq__1.sp
hold,CP,rise,fall,contains_ml1_ax_ml2_ax_ml3_ax_ml4_ax,1,1,hold/template__MB__rise__fall__20__percent__glitch__maxq__1.sp
hold,CP,rise,fall,contains_ml1_a_ml2_a_ml3_a_ml4_a,1,1,hold/template__MB__rise__fall__20__percent__glitch__minq__1.sp
hold,CP,fall,rise,len_1,1,1,hold/template__SLH__fall__SE__rise__pushout__3.sp
hold,CPN,fall,fall,contains_Q1,1,1,hold/template__latch__fall__fall__glitch__minq__1.sp
hold,WWL|WWL0,fall,rise,none,1,1,hold/template__basemeg__fall__rise__WWL__QN__glitch__maxq__1.sp
hold,WWL|WWL0,fall,fall,none,1,1,hold/template__basemeg__fall__rise__WWL__QN__glitch__minq__1.sp
hold,WWL,fall,rise,none,1,1,hold/template__basemeg__WWL__fall__rise__glitch__maxq__1.sp
hold,WWL_N,rise,rise,none,1,1,hold/template__basemeg__WWL_N__rise__rise__glitch__maxq__1.sp
hold,WWL,fall,fall,none,1,1,hold/template__basemeg__WWL__fall__fall__glitch__minq__1.sp
hold,WWL_N,rise,fall,none,1,1,hold/template__basemeg__WWL_N__rise__fall__glitch__minq__1.sp
hold,WWL0,fall,rise,none,1,1,hold/template__basemeg__WWL0__fall__rise__glitch__maxq__1.sp
hold,WWL0_N,rise,rise,contains_QN_QN0_QN1,1,1,hold/template__basemeg__WWL0_N__rise__rise__glitch__minq__1.sp
hold,WWL0_N,rise,rise,none,1,1,hold/template__basemeg__WWL0_N__rise__rise__glitch__maxq__1.sp
hold,WWL0,fall,fall,none,1,1,hold/template__basemeg__WWL0__fall__fall__glitch__minq__1.sp
hold,WWL0_N,rise,fall,contains_QN_QN0_QN1,1,1,hold/template__basemeg__WWL0_N__rise__fall__glitch__maxq__1.sp
hold,WWL0_N,rise,fall,none,1,1,hold/template__basemeg__WWL0_N__rise__fall__glitch__minq__1.sp
